MDA-MB-231 cells - No treatment [Sample 1]	MDA-MB-231 cells - only 5-ALA [Sample 2]	MDA-MB-231 cells - FECH siRNA + 5-ALA [Sample 3]	MDA-MB-231 cells - Allstar siRNA + 5-ALA [Sample 4]	MDA-MB-231 cells - No treatment [Sample 5]	MDA-MB-231 cells - only 5-ALA [Sample 6]	MDA-MB-231 cells - FECH siRNA + 5-ALA [Sample 7]	MDA-MB-231 cells - Allstar siRNA + 5-ALA [Sample 8]	MDA-MB-231 cells - No treatment [Sample 9]	MDA-MB-231 cells - only 5-ALA [Sample 10]	MDA-MB-231 cells - FECH siRNA + 5-ALA [Sample 11]	MDA-MB-231 cells - Allstar siRNA + 5-ALA [Sample 12]	
7897469	216.3741	242.0074	211.5418	209.0481	250.7209	239.4749	239.7088	229.3317	252.4898	263.9897	233.5399	239.5967
7897482	321.2885	347.3858	407.13	365.1157	334.4473	325.854	367.2332	332.0706	346.7056	357.4854	400.9206	353.5145
7897509	102.1323	108.8641	106.2763	102.5016	105.6456	103.1159	107.5372	104.2821	103.0607	105.0543	105.2808	111.726
7897520	347.5039	359.9516	375.1212	344.0153	298.3393	305.8493	333.4677	361.2402	368.6176	346.2729	304.9651	332.9372
7897522	43.1192	44.2418	46.0964	48.0999	49.0826	48.5004	46.2476	46.1788	47.5139	47.1387	44.7217	47.5165
7897527	877.8262	913.2263	629.1574	1008.2575	862.3251	880.7183	664.1094	939.3176	863.4778	871.6478	704.9926	981.0222
7897559	31.0994	31.6583	32.4081	31.0067	33.0283	31.4414	31.9127	31.0022	33.8913	32.1265	33.2909	32.1247
7897561	508.9848	500.6954	450.5419	580.4804	506.9539	518.3143	427.1495	547.7529	508.2384	527.8109	440.9866	620.7473
7897620	2059.0645	1977.3271	2802.5742	2201.5454	2121.2834	2062.8997	2663.2966	2215.7498	2011.4939	2048.3037	2636.3262	2087.254
7897632	109.7658	117.4533	118.5489	115.7138	102.9371	121.1702	126.7322	102.9097	110.9011	124.4379	120.4916	124.8032
7897648	275.6243	302.4747	307.183	313.2228	339.9879	321.4813	327.8882	304.4597	337.3055	328.2065	329.3851	353.5598
7897661	346.2078	391.307	336.8481	313.4281	309.2753	321.64	289.3818	343.0631	333.733	287.8928	326.9347	328.3438
7897663	1286.7363	1314.6958	1050.996	1310.7921	1033.7578	1114.2903	944.4858	1132.2991	1221.243	1105.3807	910.6187	1061.3787
7897675	48.0174	52.4385	45.9102	48.9424	47.614	50.9299	49.4182	49.8962	49.7733	48.8354	48.4898	53.2208
7897683	27.2633	26.7325	25.9158	26.6526	27.8296	27.4176	28.4074	26.8191	28.158	26.6162	29.3157	27.6495
7897685	707.1672	622.9042	702.1016	699.8277	647.6015	747.6916	778.373	682.807	497.5985	706.5424	816.5247	662.8011
7897691	123.5644	139.1548	140.5912	124.9961	133.3371	130.1663	140.3264	129.2617	117.2441	142.0931	121.1379	128.2907
7897714	267.155	261.062	225.0686	253.3243	269.2354	266.6229	229.5993	276.0429	286.1532	273.4192	261.7958	273.8836
