MDA-MB-231 cells - No treatment [Sample 1]	MDA-MB-231 cells - only 5-ALA [Sample 2]	MDA-MB-231 cells - FECH siRNA + 5-ALA [Sample 3]	MDA-MB-231 cells - Allstar siRNA + 5-ALA [Sample 4]	MDA-MB-231 cells - No treatment [Sample 5]	MDA-MB-231 cells - only 5-ALA [Sample 6]	MDA-MB-231 cells - FECH siRNA + 5-ALA [Sample 7]	MDA-MB-231 cells - Allstar siRNA + 5-ALA [Sample 8]	MDA-MB-231 cells - No treatment [Sample 9]	MDA-MB-231 cells - only 5-ALA [Sample 10]	MDA-MB-231 cells - FECH siRNA + 5-ALA [Sample 11]	MDA-MB-231 cells - Allstar siRNA + 5-ALA [Sample 12]	
8011732	72.3293	70.2598	57.1233	74.846	81.2798	71.1186	75.1985	74.1887	81.6647	75.1689	77.6291	89.0526
8011734	99.2401	102.1158	95.3267	91.19	106.3848	94.9675	93.6804	98.4481	95.0841	100.2006	100.7893	109.7704
8011747	768.0112	683.5537	794.7018	786.4699	723.9916	725.6555	805.2007	666.2504	755.7496	722.0119	839.3837	752.4134
8011759	7149.3096	7349.6846	8217.319	7425.8687	7751.395	7646.3696	9120.3	7780.6475	7837.065	7688.892	8051.5513	7864.6074
8011765	375.8895	367.8918	315.9574	340.934	362.9818	372.845	347.1309	343.6458	349.1065	376.1137	339.4191	363.4243
8011774	541.0518	539.9385	452.3181	513.445	564.1018	545.0654	567.0539	550.5314	582.4506	555.2662	509.4412	543.2199
8011797	116.8387	120.0678	105.9664	130.6102	122.178	117.6315	120.5677	121.7256	100.7917	112.9097	126.2284	116.7421
8011808	159.8655	154.1437	154.8117	151.0431	156.1536	140.5031	131.845	159.1256	143.2398	143.2398	155.4275	158.3224
8011817	106.9524	97.3504	115.8624	98.3188	119.9202	115.4559	127.6196	108.2559	111.4519	100.1351	136.3225	129.747
8011823	256.7504	274.5409	268.1016	235.57	267.9609	209.7218	251.2672	262.9141	151.0139	219.9141	229.3775	221.0603
8011826	73.4446	68.4103	63.7284	74.6525	64.1227	67.4597	72.0351	70.8552	71.2187	71.8794	64.4467	77.3425
8011832	2839.635	2612.6328	2064.0908	2726.2659	2604.992	2644.784	1841.1898	2704.1287	2649.233	2751.2258	1844.2643	2742.7302
8011850	1995.7339	1901.302	2199.013	1837.8196	1895.3444	1925.5997	2214.405	1700.5353	2209.413	2202.0208	2189.9263	1788.1764
8011861	577.4916	558.2263	531.1116	591.3199	554.6816	586.0006	572.7607	548.7729	568.9184	669.1734	537.8025	590.4854
8011875	1906.3811	1995.3348	1798.7086	1721.3141	1697.0835	1680.4552	1548.0182	1642.9008	1552.9419	1680.8579	1442.1764	1478.0402
8011884	314.9202	313.3275	361.7781	307.3542	288.5222	315.7057	380.2305	305.5107	314.5134	329.417	390.6254	315.8922
8011912	170.4048	159.4	151.0066	155.7613	177.3409	175.4588	152.9733	179.5314	184.2903	190.1521	173.8962	177.5081
8011924	216.4894	217.47	195.5369	180.5659	235.3269	219.1858	203.0722	185.1779	196.0437	191.1874	188.756	169.544
8011945	497.3661	535.1831	494.3973	489.835	471.9746	549.7194	472.5775	485.5793	519.7867	563.6063	495.1109	507.5728
8011968	1278.2772	1370.6788	1095.5582	1204.6718	1177.5935	1262.0266	1130.7675	1219.8234	1620.8364	1595.2906	1162.802	1298.1195
8011975	157.5797	163.866	156.9385	163.1555	150.2484	160.8445	162.885	170.2187	159.9808	143.9304	161.308	173.0827
8011990	78.828	80.3348	79.2678	85.451	76.8367	79.0432	68.7267	79.3075	75.1887	71.3694	76.7108	77.9883
8012000	172.7198	170.6102	135.4638	147.0058	285.8817	284.5544	299.7431	253.7291	439.2118	455.863	419.8853	452.7559
8012004	90.0923	96.8062	80.3193	83.9112	85.7814	80.0337	80.9158	91.4559	73.3832	80.9753	91.9567	83.3312
8012006	164.7953	177.7998	171.7776	173.2245	182.7228	192.993	195.3108	177.6571	191.6601	163.1788	184.9002	200.7955
8012013	93.8351	85.0466	80.7233	78.7756	94.5948	83.9999	85.4431	90.9985	85.7463	81.0354	102.1934	88.6328
8012028	124.2739	130.17	123.5139	131.2423	138.2388	135.3072	133.487	140.9097	147.7563	116.6293	139.3122	147.6262
8012043	124.7542	139.051	125.5081	118.44	133.5508	132.8545	139.5895	138.8749	146.2814	134.2804	139.9779	143.257
8012054	245.6412	242.8229	263.2401	244.7501	333.4865	331.341	301.2106	262.9285	300.604	306.7816	251.635	258.9022
8012079	479.3097	470.7221	454.2383	530.0568	476.8463	487.1595	447.9535	478.1009	465.6133	492.246	477.3422	523.9835
8012099	263.1926	249.3623	270.3506	283.1573	266.9609	246.0528	280.1881	266.3422	352.2196	241.358	277.2428	255.2449
8012110	6351.685	5982.1455	6938.156	6157.5894	6395.809	6416.799	7198.077	7078.485	5903.0366	5731.029	6762.734	6394.24
8012116	1050.9816	1014.707	1084.2067	1146.1971	1006.7481	1033.2761	1101.118	1089.0503	995.1763	995.3647	1042.8055	1076.3406
8012126	1200.4902	1101.8334	1426.2756	1119.2601	1083.9878	1077.7552	1336.2307	1014.8193	1133.5417	1112.3064	1413.628	1116.2465
8012138	35.9457	39.7177	50.4807	37.3926	40.6459	33.7436	52.354	36.059	32.0582	38.0771	44.9704	34.1293
8012140	293.1314	308.3047	277.1559	294.5002	293.7557	285.6026	276.6106	302.0317	308.973	266.7271	275.5166	317.2962
8012150	636.8082	627.5314	571.0017	640.0079	669.5517	640.7128	674.7	665.8856	670.252	674.4135	645.6585	680.4464
8012166	237.1978	224.2884	241.5116	236.774	220.3769	232.2971	246.8663	227.9409	237.5	246.3287	211.7977	222.6858
8012197	637.0889	595.504	573.442	768.7328	731.3464	687.6533	659.6019	699.3049	706.815	684.139	644.7426	773.2129
8012207	878.3801	789.7804	916.0295	1005.3757	954.0983	909.9832	886.6237	1040.4943	1055.4108	1003.8432	757.951	978.2156
8012212	848.605	883.7967	1322.6904	939.2029	862.037	897.3884	1326.6456	917.2089	931.0553	813.0176	1248.2949	855.3008
8012218	613.3541	605.3134	541.0109	626.6339	566.6784	422.1038	461.6772	465.3902	705.8248	549.0981	560.6781	662.2797
8012220	100.1401	104.6569	126.4237	100.8047	108.4764	94.7789	118.7966	115.2517	108.8058	102.8644	130.1211	112.0694
8012226	736.2078	724.2472	790.3811	711.325	732.0101	730.27	798.8917	678.3765	883.8369	820.2519	818.536	744.9095
8012247	717.2106	716.5378	719.8646	809.1357	708.6248	804.5817	815.8143	739.5477	643.2378	739.2828	774.6403	784.1469
8012257	2177.924	2205.651	2121.8875	2132.8003	2280.7556	2269.725	2117.7126	2223.791	2018.5344	2146.069	2228.4385	2102.116
8012270	171.0386	172.7134	139.9207	156.6116	126.0597	112.6817	131.6852	149.2928	125.7023	151.652	134.3957	127.5334
8012274	720.7697	756.3959	729.8555	783.6307	731.808	739.4114	725.8135	769.358	751.9399	703.0365	750.0848	725.2174
8012282	253.1156	242.6662	211.0433	222.587	218.6571	263.9961	193.2645	247.363	199.1948	250.8186	219.5493	254.8683
8012285	80.1916	78.913	78.5632	82.8453	81.2257	85.3461	80.447	76.4098	79.1072	82.7444	73.0945	87.9895
8012304	3382.2053	3452.0115	4412.595	3878.715	3803.431	3754.9111	4876.841	3971.6902	3855.3967	3504.5151	4600.398	3935.466
8012309	150.8502	143.0374	139.9199	154.4134	153.4008	161.0018	137.0035	150.3494	149.5252	148.9605	161.0952	153.5952
8012326	136.6154	138.1462	226.3626	122.6682	120.154	106.1572	247.099	123.2845	138.7275	124.0245	204.5802	146.0931
8012344	173.5693	184.7155	177.3554	165.8287	203.4473	175.8893	182.4302	166.7018	179.3707	172.874	170.1083	186.5324
8012349	214.4926	207.215	199.531	257.7065	215.263	208.0458	228.524	249.0754	200.1496	231.9204	233.4032	263.8793
8012376	631.0264	614.7734	544.0211	676.2725	681.7108	691.5155	650.5959	728.9034	547.8503	610.099	529.0425	642.81
8012383	265.1941	261.0917	245.8273	293.0157	232.8896	251.3485	237.3367	252.9862	252.3865	226.2403	229.7548	265.9501
8012397	204.3133	208.3879	211.8411	198.0641	228.3354	198.6262	186.5537	262.848	261.6712	192.9893	219.1738	224.2806
8012403	1756.6293	1780.6108	2577.0967	1824.8679	1618.3687	1593.1458	2758.6182	1713.4021	1789.0576	1816.5088	2860.0046	1993.5614
8012416	81.6931	88.774	153.6103	101.0035	84.1002	99.4904	133.5487	96.9587	86.6588	91.246	143.5617	102.2652
8012423	375.8645	370.9868	364.1413	418.9324	340.7877	363.0494	379.1288	381.9597	373.4007	354.2516	338.2586	403.3214
8012450	114.9231	141.562	145.3191	151.2439	128.157	135.5697	151.2213	148.2241	149.2179	141.1603	170.2087	182.7311
8012464	181.3794	198.1705	161.654	218.9059	173.1538	202.8139	164.7544	244.2061	165.2516	167.4993	142.5533	201.2758
8012466	124.3273	106.0835	107.2058	130.0622	115.2325	109.9544	118.5508	97.3017	102.2934	102.4053	103.6722	113.1751
8012469	1451.4188	1418.6501	1450.2665	1448.737	1574.6229	1499.4537	1593.4899	1518.062	1767.6362	1914.8876	1501.379	1622.0505
8012473	237.6179	244.39	259.788	255.9284	256.699	248.4945	252.6385	266.0434	258.3807	214.1057	250.1324	265.5361
8012475	922.6404	891.5883	880.2045	948.2582	911.4772	924.3765	886.2899	855.5133	1039.416	989.4344	975.8549	950.3745
8012518	101.5507	104.1783	104.0375	111.8694	88.1163	99.3704	96.8084	87.439	103.3728	100.6753	89.6633	93.4066
8012520	62.7583	74.7986	65.9779	80.3783	74.144	78.9467	72.0559	80.8484	66.6638	76.8449	75.0221	88.6894
8012528	65.1329	65.3932	64.0323	64.0441	72.1685	57.3191	62.6669	67.6635	65.9667	62.6024	65.6016	73.5411
8012535	89.2216	89.5461	83.7726	84.7811	96.8868	90.0913	90.8426	97.2147	97.2689	90.3185	98.3179	109.8276
8012539	100.2097	107.1657	100.6991	107.0643	99.58	107.402	94.9719	111.8121	98.174	103.3328	104.9378	114.8389
8012558	112.2974	118.8095	102.9107	109.2708	112.7472	107.7651	104.0151	103.4937	104.4457	105.7398	112.1687	111.3353
8012581	713.1125	666.9204	710.2553	761.135	733.9343	768.1568	841.9905	796.4425	698.7094	742.7891	695.2567	749.0098
8012591	89.8564	81.1369	79.7006	85.8121	88.001	82.2643	91.8499	84.4795	92.706	87.3246	90.2087	85.4297
8012598	62.1719	69.3348	70.0343	66.1017	74.5714	58.6661	76.4412	74.3192	66.161	64.5023	76.1597	65.0823
8012605	135.1673	136.1753	127.5183	130.0172	142.7019	137.7564	128.2221	124.8472	148.3838	146.0972	139.0959	145.4796
8012625	53.7302	54.7749	56.72	55.3363	57.0936	58.4687	55.7749	60.137	58.1448	54.2493	55.7884	57.8642
8012663	32.208	32.8053	32.9377	31.7685	33.1623	33.6441	31.9141	34.962	31.2282	35.0696	33.8859	34.9652
8012696	39.317	41.7154	43.8953	39.2396	42.2001	39.5399	38.5638	40.6336	39.2166	43.7808	43.2869	39.1764
8012726	31.8541	31.5182	30.5542	30.2017	31.3163	31.1845	34.7334	33.4017	31.9169	30.7669	31.7417	31.036
8012753	55.3893	52.7372	50.4747	47.6907	54.5831	53.0976	52.2106	52.5235	59.9618	55.7551	53.7015	54.9265
8012787	84.7945	77.0803	79.4042	68.5444	85.3363	83.834	81.5566	89.6764	87.1131	88.3795	79.9217	91.1378
8012823	591.8651	572.4583	331.8538	525.5511	534.3886	563.3107	341.2284	459.8919	551.0638	665.8477	279.6202	480.9991
8012830	62.6765	64.2572	69.2858	69.0548	64.9945	61.3242	64.9636	63.022	52.4317	61.4392	64.9033	67.8339
8012837	122.5676	127.5627	118.2059	122.8551	120.7819	125.3657	110.3674	138.8543	127.1612	122.9671	116.1481	148.4905
8012839	30.2661	29.3056	33.0295	31.2578	33.1469	33.6281	31.5032	33.4114	34.3689	33.668	31.8991	30.9393
8012841	42.9473	35.0582	57.6645	48.5036	53.2749	33.4417	43.2835	53.2658	45.27	50.6374	54.1165	73.9487
8012843	97.747	97.466	118.6206	108.9969	116.7972	108.1233	103.7716	118.581	78.6572	102.0598	130.2777	110.3321
8012852	30.1992	32.5803	33.3319	29.172	29.5568	31.4398	29.9299	30.365	30.5888	28.0985	32.982	29.713
8012854	23.6974	23.6553	23.3355	23.5838	24.3325	24.0804	25.2779	23.5564	24.0329	23.5835	23.6373	24.2943
8012856	863.3663	906.8018	1075.752	868.124	852.423	854.0557	1175.8647	790.3888	966.6112	866.5325	1102.2377	779.2176
8012883	208.8514	243.8672	256.6828	203.209	222.3566	198.981	236.2808	241.3071	232.7716	203.8011	250.8484	233.63
8012887	169.5009	209.3138	139.5505	158.0805	192.9865	178.2772	174.6079	172.4262	198.2851	169.0259	185.4362	189.6639
8012891	375.4944	366.5911	360.4631	334.9911	326.8069	323.1205	325.8768	336.8625	365.1101	408.9737	314.514	348.3168
8012893	79.0583	85.0648	72.7706	78.9048	80.5878	77.1837	89.8652	70.0444	84.6694	81.0485	81.8771	86.8546
8012896	3930.7173	3929.1157	4901.203	4896.081	3852.3245	3818.1082	5135.1978	4660.516	3837.9446	3849.812	4994.6143	4765.733
8012906	163.1301	204.0362	225.271	242.6006	131.9143	133.6606	197.4469	228.0655	274.729	191.3365	219.0931	217.9785
8012908	71.9911	68.5257	60.5632	63.0103	67.6276	73.2844	60.2056	58.6751	67.151	65.9638	62.7471	66.8626
8012918	151.8246	150.5165	159.373	130.779	138.3827	148.6489	150.571	135.6496	150.2616	154.1802	139.292	132.5631
8012924	143.3337	156.4565	149.0299	144.3999	111.232	133.6528	161.2253	142.0612	144.4795	146.7824	139.5315	127.646
8012928	27.1475	27.789	26.8579	29.2694	28.0731	26.7171	27.515	26.2617	28.2523	29.3162	27.8699	31.6241
8012931	366.2018	479.613	551.777	453.3019	328.2063	416.0544	531.2459	488.8253	301.7333	442.785	584.262	438.2717
8012949	205.9252	385.1067	351.8606	359.4815	213.5717	280.7101	389.7374	367.6558	216.7401	344.0142	338.9282	344.8375
8012951	743.1491	890.1506	781.6937	897.966	675.2645	781.836	866.189	933.0378	491.0173	790.0367	965.9448	916.2074
8012953	1402.502	1590.7091	1898.9767	1809.3402	1548.6665	1443.6611	1904.3441	1696.2013	1012.3806	1415.935	1827.0765	1563.0371
8012958	1314.0839	1267.2596	1623.1051	1387.8104	1358.002	1265.2588	1625.4514	1311.5361	1664.8586	1453.6228	1566.9486	1386.942
8012961	1524.3812	1581.8114	1507.3569	1571.9989	1652.4247	1675.5519	1585.4373	1554.1401	1639.2816	1654.0828	1601.328	1627.8469
8013013	44.7264	49.6442	48.2792	44.5162	47.6142	44.6396	40.6529	51.2754	56.2064	44.471	45.1313	47.2347
8013015	571.8527	513.3805	725.8924	594.9399	470.5432	480.7965	653.0639	432.506	579.7491	550.7898	656.8784	494.9409
8013022	385.3989	375.4283	330.5538	438.3887	348.1709	381.0831	352.3094	361.7008	349.2277	309.4766	309.8258	346.3766
8013026	65.3899	60.4601	63.8712	58.6687	62.7723	64.1071	63.9905	58.8226	60.9914	60.6076	54.7144	54.9679
8013035	110.4817	100.1683	104.137	125.9033	118.061	108.7002	98.6237	112.1296	99.3881	109.8948	91.2846	107.5767
8013042	623.0222	613.6235	591.6569	607.3575	682.3976	595.0422	584.1787	671.5355	604.2447	582.7105	534.7402	651.8388
8013049	111.8612	120.3544	114.4975	115.4996	131.4859	118.5097	118.0775	138.3502	120.2122	123.8038	127.6308	125.6664
8013061	409.7973	418.3716	413.0723	410.3722	445.3504	417.0654	381.4871	486.2944	421.3869	421.8427	422.0898	452.6447
8013068	280.716	291.9737	355.6782	262.3372	262.3574	276.7657	388.9465	289.0242	295.3522	290.7954	381.0035	275.1322
8013071	674.7187	712.8503	810.5652	709.9011	745.7711	762.2002	862.8483	702.0957	536.1783	647.7276	933.3162	594.8397
8013089	72.0309	72.4448	68.6021	76.4444	60.4748	58.9913	71.7346	67.8412	57.5737	58.5507	86.3663	75.4168
8013094	2538.3726	2601.4758	2405.3643	2426.1833	2344.9084	2504.0222	2515.3286	2282.0945	2372.3813	2585.455	2384.0474	2445.121
8013109	242.7975	239.414	271.3145	245.4301	305.6382	246.565	229.9563	259.8451	277.0712	316.1468	264.4052	260.345
8013112	211.1245	230.7081	228.999	220.5098	241.533	245.3475	250.7456	275.0824	265.2275	208.3404	244.0089	288.6896
8013120	1561.8002	1437.4545	1827.1927	1699.6112	1678.4901	1691.017	2032.5381	1679.5499	1607.6693	1568.1937	1838.5422	1654.6016
8013131	63.865	66.6402	67.8582	66.3497	65.7787	68.4979	67.3153	80.7103	68.6902	65.1293	70.3418	71.287
8013135	727.0045	750.0616	594.9847	881.3244	799.1246	831.3351	663.9565	827.5808	723.8845	772.8135	621.977	837.0411
8013157	229.6985	214.0493	179.9254	232.6783	237.525	263.182	182.0688	231.5729	249.0544	286.6172	209.033	236.4466
8013159	1186.7925	1224.5763	973.9165	1300.2979	1218.5834	1285.842	1052.3043	1282.0486	1316.2653	1286.3265	1048.0282	1277.951
8013177	25.139	25.7199	25.0971	24.2497	25.3682	25.139	26.1179	24.5956	25.6543	24.7707	24.4371	25.3884
8013179	404.9293	408.5606	450.9008	422.6513	445.8275	433.0972	483.4133	435.1808	395.9066	419.2413	425.0102	406.3724
8013191	2024.8015	1897.3506	1335.3461	2026.3398	2107.7693	2110.0383	1387.6445	1860.5369	2013.7191	1925.288	1282.113	1935.7567
8013222	1152.3896	1112.898	850.0715	1028.5906	1110.8074	1152.117	881.7387	1033.4133	985.6088	1213.7305	917.4847	1086.359
8013243	224.4027	187.3905	233.2108	198.2928	191.8563	210.5355	215.8489	201.0741	212.2747	201.3778	237.9332	201.2418
8013259	331.8172	325.8141	291.1653	305.2057	335.7488	343.7166	292.8202	322.763	342.0623	281.9255	325.3892	354.0269
8013262	614.5621	702.9702	685.1437	580.4423	586.6713	601.2283	665.3243	583.8028	654.7434	583.4321	663.0718	518.3933
8013268	427.9161	528.4676	468.044	511.9261	368.3199	384.1651	451.8419	531.8712	541.2861	398.6146	443.8474	404.0684
8013272	230.6547	259.3297	258.9611	240.7492	168.4884	207.8839	229.4121	249.6558	258.7322	244.1519	229.7308	225.9993
8013292	70.169	88.3471	75.6876	84.3406	71.1347	69.1124	80.2564	73.5217	82.2148	73.9061	78.2147	81.0772
8013294	100.3571	89.1581	87.0428	85.8732	102.2929	96.3916	89.2223	85.3657	95.2652	94.7302	86.2852	96.7653
8013305	133.8857	161.9868	111.8322	126.29	152.4672	142.3673	135.6577	148.468	162.0008	170.672	114.4085	147.5122
8013307	2267.502	2361.2642	2585.484	2438.082	2624.3896	2678.1287	2775.6604	2473.7876	2638.605	2870.6165	3317.6523	2702.5156
8013309	71.625	74.7258	71.9658	75.5451	72.9533	77.2194	74.0509	75.666	71.0321	67.4511	77.0925	83.2087
8013312	126.7306	106.1146	154.9143	117.0806	126.7754	128.5654	133.9278	98.3392	114.159	123.0743	162.8574	107.5347
8013319	61.5036	74.756	77.3095	79.4062	105.2994	90.1838	136.1995	96.5827	140.1195	129.0642	110.9814	125.0862
8013323	1042.0667	879.4571	1710.2969	783.2203	831.4279	907.1287	1945.9741	860.5082	797.5499	1052.5441	1834.536	669.7423
8013325	1041.9175	879.3378	1710.3517	783.0854	831.3184	906.9219	1946.0532	860.3229	797.4972	1052.5037	1834.8727	669.7168
8013327	187.47	199.2562	182.4082	193.0773	181.1686	187.9048	183.1993	188.3481	203.6423	165.862	193.72	192.4695
8013329	1042.0809	879.5935	1710.3517	783.234	831.4187	906.8878	1945.9001	860.6439	797.8475	1052.5037	1835.516	669.7163
8013331	218.5716	172.4349	189.3274	199.5253	228.4004	203.3172	197.5345	203.1805	214.1879	213.4993	193.5817	182.0803
8013341	68.6108	63.6942	58.3095	74.2442	67.6626	77.6363	69.1238	71.2531	76.2897	63.7121	71.3136	81.5502
8013348	7255.0166	7454.5195	8201.482	7358.28	7210.156	7337.149	7919.3096	7153.673	7691.951	7788.027	8255.33	7734.5137
8013354	75.1111	87.7277	76.9706	80.9192	85.953	72.0273	73.8901	108.2966	104.6158	105.4406	82.2123	93.3657
8013356	31.3304	31.1869	30.8776	29.4994	31.9029	30.849	31.0176	31.9918	37.3636	32.8638	30.2465	34.9773
8013358	25.1703	24.2096	23.7406	23.1658	24.5634	23.7298	23.6823	24.2976	23.7025	23.2921	23.8941	25.2774
8013360	25.4811	23.4371	23.4274	23.6932	23.9287	24.1336	24.5422	26.5562	25.9459	23.8065	24.1954	23.5776
8013362	25.8615	23.8822	24.9314	24.8637	25.119	24.4592	26.001	23.9209	24.9562	25.119	25.763	25.2393
8013364	85.8948	88.8308	90.3128	85.0095	88.0647	84.7472	83.694	86.158	91.0836	88.2876	86.3461	89.2099
8013384	138.2985	143.2585	136.4908	133.1692	149.2128	147.8915	141.4703	167.4818	148.4174	140.047	161.8404	156.6982
8013399	494.199	480.428	215.0153	468.3177	541.4761	540.7527	216.0233	447.4121	483.6692	511.951	197.5544	411.5792
8013431	443.0771	445.0222	470.5054	464.1368	407.4366	449.9916	525.5858	437.0826	414.8077	472.9984	527.085	436.4743
8013448	24.6104	24.5978	24.722	24.2168	24.8909	24.872	24.0334	24.5894	24.3887	24.4837	25.7403	25.2572
8013450	177.3955	177.4602	180.1516	187.3151	183.8658	189.7051	220.5228	163.4162	193.8568	186.655	190.1136	172.1171
8013465	185.9941	177.4127	169.89	156.7849	175.2022	174.2832	173.0158	187.9931	169.3734	160.4032	177.3843	187.0196
8013473	163.552	182.1153	132.5459	136.4359	165.4069	163.7511	150.0343	160.3317	180.02	138.7749	162.3065	176.9293
8013479	215.5642	228.6713	227.0555	232.0668	158.0349	183.0807	193.4096	227.096	221.0921	190.4476	204.1612	218.3205
8013484	25.5706	30.2549	26.4495	25.4118	25.8445	28.6027	25.9743	27.8386	27.2101	27.1449	28.6118	26.7276
8013486	1506.3695	1497.4586	1449.5138	1458.1173	1767.9142	1788.4506	1653.9009	1693.0078	1632.3379	1659.9536	1594.2992	1666.3536
8013500	231.7779	231.395	264.0568	210.2618	236.08	233.5116	266.8821	210.0658	226.7735	231.7258	230.953	245.4746
8013507	180.0242	167.1253	178.0293	172.7159	189.8356	179.2717	180.9237	153.9262	185.4428	172.5364	182.926	192.784
8013509	278.2174	244.2862	237.2048	315.2043	271.2586	268.8187	239.469	275.2909	258.1423	266.8276	266.7118	326.7903
8013515	203.3242	200.4755	165.399	168.7587	156.014	164.2074	140.9022	142.6242	164.3789	199.445	155.0841	155.4343
8013517	25.0209	25.0913	25.8612	25.2123	24.7677	25.7658	26.1485	26.8413	26.1207	26.5885	26.1972	24.6906
8013519	25.1072	24.7239	25.345	24.9811	24.7216	25.1074	24.5263	25.588	25.3586	25.4604	25.7428	25.183
8013521	218.5464	225.315	239.0362	245.33	224.1656	228.9196	247.8866	276.1026	395.8993	329.7141	307.9833	280.4885
8013523	98.345	89.8405	87.5429	84.8578	64.7011	68.7105	88.5983	78.8589	115.8335	114.8663	84.7821	80.099
8013525	23.8892	23.0797	22.6747	23.7959	23.9112	23.2581	23.1753	23.4034	22.5854	22.8002	22.5122	24.6141
8013527	24.4999	26.6411	27.9691	24.426	28.6715	25.593	25.2644	25.2457	28.8085	25.5387	22.9518	25.0742
8013529	35.6479	45.4211	52.1111	37.9424	47.5663	31.2629	38.2583	35.1171	26.6598	34.5521	39.1388	31.8993
8013531	29.0914	28.8049	28.0047	27.7639	32.4833	31.6592	27.9188	32.1227	32.7513	30.2916	31.9083	33.2301
8013533	196.8131	194.7837	195.5656	215.9282	211.4632	207.0949	190.7848	214.0559	224.906	169.15	204.1542	215.3368
8013536	121.1688	108.8034	102.9432	104.493	123.1406	116.316	107.8406	106.5073	107.3631	106.0356	99.1988	117.3115
8013567	40.5318	34.7075	31.4914	38.4954	31.6679	31.8456	29.3261	41.7635	35.643	31.215	28.3924	35.221
8013570	48.4003	56.2859	42.2044	48.7524	64.9038	51.237	46.3282	53.4717	53.6171	49.5685	47.2699	53.086
8013572	26.1262	24.726	25.4098	24.9447	24.9865	26.8269	28.4312	26.0124	26.8104	28.9176	26.6838	26.1379
8013574	95.4733	106.3239	97.7301	96.4498	109.2563	106.8682	94.9056	126.0509	109.2004	111.6783	101.513	105.2724
8013581	467.5804	394.4278	499.2219	416.8512	371.0964	418.1033	495.3418	391.816	401.9994	432.2475	449.0473	416.3346
8013588	2525.86	2467.5745	1985.1671	2761.5986	2545.5042	2722.2395	1976.6776	2374.5676	2276.7815	2379.4043	1914.3805	2464.1914
8013602	87.1633	88.3299	86.881	78.8515	84.1784	92.3992	80.9971	88.8553	86.6922	78.7485	87.4463	86.3231
8013606	130.6008	129.9446	106.8184	117.7309	137.8462	140.3565	97.6713	134.7365	132.1308	126.7383	125.6383	133.6014
8013616	527.1853	456.5862	517.523	588.6673	503.5251	546.3386	599.9407	568.2481	562.5446	524.931	619.4028	552.1519
8013622	156.454	159.0428	138.828	159.5437	143.5639	153.9591	107.7867	167.6615	199.6244	178.3304	131.8388	182.3624
8013633	287.5407	314.109	328.4723	352.1649	322.0678	334.42	319.3557	330.6821	324.8502	318.0869	307.6639	328.5289
8013641	2007.9474	1900.182	1513.4609	2288.8018	2236.1343	2174.8694	1633.9628	2387.5674	2098.878	2103.3135	1643.1062	2495.8518
8013660	395.9008	373.6959	239.7132	460.0404	393.9009	413.4279	238.8975	449.0917	389.8958	382.0834	225.4011	333.0994
8013671	1050.7046	1004.241	1075.4991	1071.5355	980.0263	990.1676	1057.293	968.0375	1046.5509	1172.0306	1193.9554	1241.528
8013696	1479.0592	1399.7871	1721.9905	1689.1545	1386.9103	1304.1997	1607.9597	1438.6069	1379.6553	1357.703	1506.7646	1495.8163
8013741	784.1073	701.3809	614.7778	710.6524	639.5692	667.8268	619.5959	614.0226	682.6479	758.4971	642.6712	619.7962
8013747	157.0326	161.4658	153.5639	150.4695	148.075	150.3627	149.9929	145.1848	155.038	135.3318	151.9397	144.1247
8013753	1247.5026	1300.6494	1133.5728	1310.6107	1329.3984	1296.8192	1291.1161	1250.1389	1426.7643	1360.761	1257.6335	1297.4493
8013771	278.8153	242.2804	256.3234	265.8707	222.6852	225.9103	232.247	235.5742	199.1452	228.1452	188.4294	214.7328
8013776	541.497	583.4647	882.8925	751.1576	566.7509	584.0408	950.1182	822.7587	717.275	577.4274	916.2615	804.9556
8013784	27.19	26.0204	26.7241	26.7556	27.9592	26.6144	28.7918	27.1848	28.3145	27.1912	28.0169	27.2979
8013786	25.1225	25.1329	24.7538	25.0834	24.4386	25.199	25.038	26.3655	24.7811	24.5886	24.5498	26.0753
8013788	861.7781	834.5662	1088.3179	870.5055	836.5273	832.6804	1017.3824	723.8961	849.6773	759.558	1011.3201	804.3967
8013804	289.2152	268.4812	322.539	275.9457	271.7673	303.2425	289.058	255.1285	254.2032	250.0905	281.6872	276.6532
8013812	534.9406	529.5423	534.5314	640.2278	550.9248	610.8563	594.6159	589.6061	719.5892	610.3021	598.1932	642.9323
8013833	119.739	106.9781	102.4901	97.8315	98.864	105.6338	113.042	107.7294	108.5908	107.2758	112.0057	127.9591
8013858	152.6435	154.8104	154.5287	141.0299	187.7514	169.483	156.1672	151.8118	146.8056	143.9721	131.0583	153.465
8013860	708.6743	668.4277	646.3481	800.7098	736.2545	736.1498	627.5945	793.4108	762.7539	731.9548	671.2847	828.7286
8013906	1556.9307	1567.0706	1209.9487	1576.0422	1629.3308	1583.0488	1265.1423	1540.9275	1648.8643	1556.059	1086.8586	1624.7451
8013908	1734.034	1777.9114	1780.0685	1595.5903	1790.304	1851.0762	1787.3928	1615.5198	2048.364	1836.2343	1862.5913	1564.1
8013915	191.6657	204.071	192.875	194.668	197.3422	206.3059	197.6758	231.5607	208.9209	210.7133	213.4645	209.4778
8013917	24.4769	24.1703	25.2749	24.3724	24.4963	24.2077	24.3563	23.5877	24.9043	24.7442	24.1943	24.0871
